id,ime,datum_sprejema,datum_oddaje,spol,felvfiv,tip
0,Star,10/06/2022,18/12/2022,Moški,,pes
1,Star,10/06/2022,18/12/2022,Moški,,pes
2,Rasta,14/08/2022,17/12/2022,Moški,,pes
3,Rasta,14/08/2022,17/12/2022,Moški,,pes
4,Rina,02/08/2022,17/12/2022,Ženski,,pes
5,Rina,02/08/2022,17/12/2022,Ženski,,pes
6,Dakota,09/11/2022,13/12/2022,Ženski,,pes
7,Dakota,09/11/2022,13/12/2022,Ženski,,pes
8,Puhec,18/01/2022,07/12/2022,Moški,,pes
9,Puhec,18/01/2022,07/12/2022,Moški,,pes
10,PikainLuna,22/10/2022,05/12/2022,Ženski,,pes
11,PikainLuna,22/10/2022,05/12/2022,Ženski,,pes
12,Rex,21/01/2022,x,Moški,,pes
13,Rex,21/01/2022,x,Moški,,pes
14,Iza,11/02/2022,29/11/2022,Ženski,,pes
15,Iza,11/02/2022,29/11/2022,Ženski,,pes
16,Willow,05/10/2022,29/11/2022,Ženski,,pes
17,Willow,05/10/2022,29/11/2022,Ženski,,pes
18,Gumbka-Lija,20/12/2016,29/11/2022,Ženski,,pes
19,Gumbka-Lija,20/12/2016,29/11/2022,Ženski,,pes
20,Bailey,05/10/2022,29/11/2022,Ženski,,pes
21,Bailey,05/10/2022,29/11/2022,Ženski,,pes
22,Finn,09/11/2022,29/11/2022,Moški,,pes
23,Finn,09/11/2022,29/11/2022,Moški,,pes
24,Bjork,13/02/2021,11/11/2022,Moški,,pes
25,Bjork,13/02/2021,11/11/2022,Moški,,pes
26,Rui,16/12/2021,11/11/2022,Moški,,pes
27,Rui,16/12/2021,11/11/2022,Moški,,pes
28,Ivi,02/09/2022,25/10/2022,Ženski,,pes
29,Ivi,02/09/2022,25/10/2022,Ženski,,pes
30,Ross,12/08/2022,22/10/2022,Moški,,pes
31,Ross,12/08/2022,22/10/2022,Moški,,pes
32,Lava,02/09/2022,21/10/2022,Ženski,,pes
33,Lava,02/09/2022,21/10/2022,Ženski,,pes
34,Asterix,27/05/2022,x,Moški,,pes
35,Asterix,27/05/2022,x,Moški,,pes
36,Shy,07/06/2022,01/09/2022,Ženski,,pes
37,Shy,07/06/2022,01/09/2022,Ženski,,pes
38,Suki,23/05/2022,22/08/2022,Ženski,,pes
39,Suki,23/05/2022,22/08/2022,Ženski,,pes
40,Risa,04/12/2021,01/07/2022,Ženski,,pes
41,Risa,04/12/2021,01/07/2022,Ženski,,pes
42,Daisy,17/12/2021,01/07/2022,Ženski,,pes
43,Daisy,17/12/2021,01/07/2022,Ženski,,pes
44,Vita,04/05/2022,27/06/2022,Ženski,,pes
45,Vita,04/05/2022,27/06/2022,Ženski,,pes
46,Byron,18/01/2022,23/06/2022,Moški,,pes
47,Byron,18/01/2022,23/06/2022,Moški,,pes
48,Mio,,x,Moški,,pes
49,Mio,,x,Moški,,pes
50,Sofia,30/12/2021,12/05/2022,Ženski,,pes
51,Sofia,30/12/2021,12/05/2022,Ženski,,pes
52,Boč,24/04/2022,06/05/2022,Moški,,pes
53,Boč,24/04/2022,06/05/2022,Moški,,pes
54,Dimi,17/12/2021,28/03/2022,Moški,,pes
55,Dimi,17/12/2021,28/03/2022,Moški,,pes
56,Steffi,01/12/2021,23/03/2022,Ženski,,pes
57,Steffi,01/12/2021,23/03/2022,Ženski,,pes
58,Duno,17/12/2021,07/03/2022,Moški,,pes
59,Duno,17/12/2021,07/03/2022,Moški,,pes
60,Luna,01/12/2021,04/03/2022,Ženski,,pes
61,Luna,01/12/2021,04/03/2022,Ženski,,pes
62,Dream,17/12/2021,28/02/2022,Moški,,pes
63,Dream,17/12/2021,28/02/2022,Moški,,pes
64,Dom,17/12/2021,28/02/2022,Moški,,pes
65,Dom,17/12/2021,28/02/2022,Moški,,pes
66,Doc,17/12/2021,,Moški,,pes
67,Doc,17/12/2021,,Moški,,pes
68,Danesh,17/12/2021,28/02/2022,Moški,,pes
69,Danesh,17/12/2021,28/02/2022,Moški,,pes
70,Avša,30/01/2022,x,Ženski,,pes
71,Avša,30/01/2022,x,Ženski,,pes
72,Cosmo,18/01/2022,x,Moški,,pes
73,Cosmo,18/01/2022,x,Moški,,pes
74,Ronja,24/02/2021,08/01/2021,Ženski,,pes
75,Ronja,24/02/2021,08/01/2021,Ženski,,pes
76,Taja,26/04/2021,04/01/2022,Ženski,,pes
77,Taja,26/04/2021,04/01/2022,Ženski,,pes
78,Tisa,07/03/2022,27/12/2022,Ženski,Negativna,muc
79,Tisa,07/03/2022,27/12/2022,Ženski,Negativna,muc
80,Dutchess,23/09/2022,09/12/2022,Ženski,Negativna,muc
81,Dutchess,23/09/2022,09/12/2022,Ženski,Negativna,muc
82,Daša,23/09/2022,09/12/2022,Ženski,Negativna,muc
83,Daša,23/09/2022,09/12/2022,Ženski,Negativna,muc
84,Dash,22/07/2022,07/12/2022,Moški,Negativen,muc
